מספר_הזמנה,תאריך,יום_בשבוע,עונה,חג,רשת,עיר,אזור,קטגוריה,כמות,מחיר_יחידה,הנחה_אחוז,מכירות_ש,רווח_ש,אחוז_רווח
ORD-0001,2024-01-15,שני,חורף,0,שופרסל,תל אביב,מרכז,מזון ומשקאות,3,45.90,5,130.82,39.25,30.0
ORD-0002,2024-02-10,שבת,חורף,0,רמי לוי,ירושלים,ירושלים,אלקטרוניקה,1,1299.00,10,1169.10,292.28,25.0
ORD-0003,2024-03-25,שלישי,אביב,1,ויקטורי,חיפה,צפון,בגדים והנעלה,2,189.00,15,321.30,80.33,25.0
ORD-0004,2024-04-08,ראשון,אביב,1,שופרסל,רעננה,שרון,בריאות ויופי,4,67.50,0,270.00,81.00,30.0
ORD-0005,2024-05-20,שני,אביב,0,רמי לוי,באר שבע,דרום,בית ומשק,1,449.00,20,359.20,71.84,20.0
ORD-0006,2024-06-14,שישי,קיץ,0,ויקטורי,תל אביב,מרכז,מזון ומשקאות,6,32.00,0,192.00,57.60,30.0
ORD-0007,2024-07-22,שני,קיץ,0,שופרסל,חולון,מרכז,אלקטרוניקה,2,599.00,5,1138.10,227.62,20.0
ORD-0008,2024-09-15,ראשון,קיץ,1,רמי לוי,ירושלים,ירושלים,מזון ומשקאות,10,18.50,10,166.50,49.95,30.0
ORD-0009,2024-10-03,חמישי,סתיו,0,ויקטורי,חיפה,צפון,בגדים והנעלה,1,350.00,25,262.50,52.50,20.0
ORD-0010,2024-12-24,שלישי,חורף,0,שופרסל,פתח תקווה,מרכז,בריאות ויופי,3,89.00,10,240.30,72.09,30.0
